name,team,playingRole,battingStyle,bowlingStyle
Darwish Rasooli,Afghanistan,Top order Batter,Right hand Bat,Right arm Offbreak
Ibrahim Zadran,Afghanistan,Opening Batter,Right hand Bat,Right arm Medium fast
Najibullah Zadran,Afghanistan,Middle order Batter,Left hand Bat,Right arm Offbreak
Rahmanullah Gurbaz,Afghanistan,Wicketkeeper Batter,Right hand Bat,
Usman Ghani,Afghanistan,Opening Batter,Right hand Bat,
Hazratullah Zazai,Afghanistan,Opening Batter,Left hand Bat,Slow Left arm Orthodox
Mohammad Nabi,Afghanistan,Allrounder,Right hand Bat,Right arm Offbreak
Azmatullah Omarzai,Afghanistan,Allrounder,Right hand Bat,Right arm Medium fast
Gulbadin Naib,Afghanistan,Batting Allrounder,Right hand Bat,Right arm Medium fast
Rashid Khan,Afghanistan,Bowling Allrounder,Right hand Bat,Legbreak Googly
Fareed Ahmad,Afghanistan,Bowler,Left hand Bat,Left arm Fast medium
Fazalhaq Farooqi,Afghanistan,Bowler,Right hand Bat,Left arm Fast medium
Mohammad Saleem,Afghanistan,Bowler,Right hand Bat,Right arm Fast
Mujeeb Ur Rahman,Afghanistan,Bowler,Right hand Bat,Right arm Offbreak
Naveen-ul-Haq,Afghanistan,Bowler,Right hand Bat,Right arm Medium fast
Qais Ahmad,Afghanistan,Bowler,Right hand Bat,Legbreak
Kane Williamson,New Zealand,Top order Batter,Right hand Bat,Right arm Offbreak
Finn Allen,New Zealand,Top order Batter,Right hand Bat,
Devon Conway,New Zealand,Wicketkeeper Batter,Left hand Bat,Right arm Medium
Martin Guptill,New Zealand,Opening Batter,Right hand Bat,Right arm Offbreak
Glenn Phillips,New Zealand,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Michael Bracewell,New Zealand,Batting Allrounder,Left hand Bat,Right arm Offbreak
Mark Chapman,New Zealand,Allrounder,Left hand Bat,Slow Left arm Orthodox
Daryl Mitchell,New Zealand,Batting Allrounder,Right hand Bat,Right arm Medium
James Neesham,New Zealand,Batting Allrounder,Left hand Bat,Right arm Medium fast
Mitchell Santner,New Zealand,Bowling Allrounder,Left hand Bat,Slow Left arm Orthodox
Trent Boult,New Zealand,Bowler,Right hand Bat,Left arm Fast medium
Lockie Ferguson,New Zealand,Bowler,Right hand Bat,Right arm Fast
Adam Milne,New Zealand,Bowler,Right hand Bat,Right arm Fast
Ish Sodhi,New Zealand,Bowler,Right hand Bat,Legbreak
Tim Southee,New Zealand,Bowler,Right hand Bat,Right arm Medium fast
Craig Ervine,Zimbabwe,Middle order Batter,Left hand Bat,Right arm Offbreak
Ryan Burl,Zimbabwe,Middle order Batter,Left hand Bat,Legbreak
Regis Chakabva,Zimbabwe,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Clive Madande,Zimbabwe,Wicketkeeper Batter,Right hand Bat,
Babar Azam,Pakistan,Batter,Right hand Bat,Right arm Offbreak
Milton Shumba,Zimbabwe,Top order Batter,Left hand Bat,Slow Left arm Orthodox
Sean Williams,Zimbabwe,Middle order Batter,Left hand Bat,Slow Left arm Orthodox
Brad Evans,Zimbabwe,Allrounder,Right hand Bat,Right arm Fast
Luke Jongwe,Zimbabwe,Allrounder,Right hand Bat,Right arm Fast medium
Wessly Madhevere,Zimbabwe,Allrounder,Right hand Bat,Right arm Offbreak
Asif Ali,Pakistan,Middle order Batter,Right hand Bat,Right arm Offbreak
Haider Ali,Pakistan,Middle order Batter,Right hand Bat,
Iftikhar Ahmed,Pakistan,Middle order Batter,Right hand Bat,Right arm Offbreak
Khushdil Shah,Pakistan,Middle order Batter,Left hand Bat,Slow Left arm Orthodox
Mohammad Haris,Pakistan,Middle order Batter,Right hand Bat,Right arm Offbreak
Tony Munyonga,Zimbabwe,Allrounder,Right hand Bat,Right arm Offbreak
Sikandar Raza,Zimbabwe,Batting Allrounder,Right hand Bat,Right arm Offbreak
Tendai Chatara,Zimbabwe,Bowler,Right hand Bat,Right arm Fast medium
Wellington Masakadza,Zimbabwe,Bowler,Left hand Bat,Slow Left arm Orthodox
Blessing Muzarabani,Zimbabwe,Bowler,Right hand Bat,Right arm Fast medium
Mohammad Rizwan,Pakistan,Wicketkeeper Batter,Right hand Bat,
Shan Masood,Pakistan,Opening Batter,Left hand Bat,Right arm Medium fast
Fakhar Zaman,Pakistan,Opening Batter,Left hand Bat,Slow Left arm Orthodox
Mohammad Nawaz,Pakistan,Allrounder,Left hand Bat,Slow Left arm Orthodox
Richard Ngarava,Zimbabwe,Bowler,Left hand Bat,Left arm Fast medium
Temba Bavuma,South Africa,Middle order Batter,Right hand Bat,Right arm Medium
Nicholas Pooran,West Indies,Wicketkeeper Batter,Left hand Bat,Right arm Offbreak
Mohammad Wasim,Pakistan,Allrounder,Right hand Bat,Right arm Fast medium
Shadab Khan,Pakistan,Allrounder,Right hand Bat,Legbreak
Haris Rauf,Pakistan,Bowler,Right hand Bat,Right arm Fast
Mohammad Hasnain,Pakistan,Bowler,Right hand Bat,Right arm Fast
Naseem Shah,Pakistan,Bowler,Right hand Bat,Right arm Fast
Quinton de Kock,South Africa,Wicketkeeper Batter,Left hand Bat,
Reeza Hendricks,South Africa,Opening Batter,Right hand Bat,Right arm Offbreak
Heinrich Klaasen,South Africa,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Rovman Powell,West Indies,Middle order Batter,Right hand Bat,Right arm Medium fast
Shamarh Brooks,West Indies,Top order Batter,Right hand Bat,Legbreak
Johnson Charles,West Indies,Wicketkeeper Batter,Right hand Bat,
Brandon King,West Indies,Top order Batter,Right hand Bat,
Evin Lewis,West Indies,Opening Batter,Left hand Bat,
Shaheen Shah Afridi,Pakistan,Bowler,Left hand Bat,Left arm Fast
Aiden Markram,South Africa,Opening Batter,Right hand Bat,Right arm Offbreak
David Miller,South Africa,Middle order Batter,Left hand Bat,Right arm Offbreak
Rilee Rossouw,South Africa,Top order Batter,Left hand Bat,Right arm Offbreak
Shimron Hetmyer,West Indies,Top order Batter,Left hand Bat,
Jason Holder,West Indies,Bowling Allrounder,Right hand Bat,Right arm Medium fast
Kyle Mayers,West Indies,Batting Allrounder,Left hand Bat,Right arm Medium
Raymon Reifer,West Indies,Allrounder,Left hand Bat,Left arm Medium fast
Scott Edwards,Netherlands,Wicketkeeper Batter,Right hand Bat,
Tristan Stubbs,South Africa,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Dwaine Pretorius,South Africa,Bowling Allrounder,Right hand Bat,Right arm Medium fast
Odean Smith,West Indies,Bowling Allrounder,Right hand Bat,Right arm Fast medium
Yannic Cariah,West Indies,Bowler,Left hand Bat,Legbreak
Tom Cooper,Netherlands,Middle order Batter,Right hand Bat,Right arm Offbreak
Stephan Myburgh,Netherlands,Opening Batter,Left hand Bat,Right arm Offbreak
Max O'Dowd,Netherlands,Opening Batter,Right hand Bat,Right arm Offbreak
Vikramjit Singh,Netherlands,Opening Batter,Left hand Bat,Right arm Medium
Colin Ackermann,Netherlands,Batting Allrounder,Right hand Bat,Right arm Offbreak
Rohit Sharma,India,Top order Batter,Right hand Bat,Right arm Offbreak
Ashen Bandara,Sri Lanka,Middle order Batter,Right hand Bat,Legbreak
Chundangapoyil Rizwan,United Arab Emirates,Middle order Batter,Right hand Bat,Legbreak Googly
Keshav Maharaj,South Africa,Bowler,Right hand Bat,Slow Left arm Orthodox
Lungi Ngidi,South Africa,Bowler,Right hand Bat,Right arm Fast medium
Anrich Nortje,South Africa,Bowler,Right hand Bat,Right arm Fast
Sheldon Cottrell,West Indies,Bowler,Right hand Bat,Left arm Fast medium
Akeal Hosein,West Indies,Bowler,Left hand Bat,Slow Left arm Orthodox
Alzarri Joseph,West Indies,Bowler,Right hand Bat,Right arm Fast
Obed McCoy,West Indies,Bowler,Left hand Bat,Left arm Fast medium
Bas de Leede,Netherlands,Batting Allrounder,Right hand Bat,Right arm Fast medium
Teja Nidamanuru,Netherlands,Allrounder,Right hand Bat,Right arm Offbreak
Tim Pringle,Netherlands,Allrounder,Right hand Bat,Slow Left arm Orthodox
Roelof van der Merwe,Netherlands,Bowling Allrounder,Right hand Bat,Slow Left arm Orthodox
Brandon Glover,Netherlands,Bowler,Right hand Bat,Right arm Fast
KL Rahul,India,Wicketkeeper Batter,Right hand Bat,
Dinesh Karthik,India,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Kusal Mendis,Sri Lanka,Wicketkeeper Batter,Right hand Bat,Legbreak
Pathum Nissanka,Sri Lanka,Top order Batter,Right hand Bat,
Bhanuka Rajapaksa,Sri Lanka,Top order Batter,Left hand Bat,Right arm Medium
Dasun Shanaka,Sri Lanka,Allrounder,Right hand Bat,Right arm Medium
Charith Asalanka,Sri Lanka,Batting Allrounder,Left hand Bat,Right arm Offbreak
Wanindu Hasaranga,Sri Lanka,Allrounder,Right hand Bat,Legbreak
Vriitya Aravind,United Arab Emirates,Wicketkeeper Batter,Right hand Bat,
Basil Hameed,United Arab Emirates,Middle order Batter,Right hand Bat,Right arm Offbreak
Chirag Suri,United Arab Emirates,Opening Batter,Right hand Bat,"Right arm Offbreak, Legbreak Googly"
Muhammad Waseem,United Arab Emirates,Opening Batter,Right hand Bat,Right arm Medium
Wayne Parnell,South Africa,Bowler,Left hand Bat,Left arm Medium fast
Kagiso Rabada,South Africa,Bowler,Left hand Bat,Right arm Fast
Tabraiz Shamsi,South Africa,Bowler,Right hand Bat,Left arm Wrist spin
Fred Klaassen,Netherlands,Bowler,Right hand Bat,Left arm Fast medium
Shariz Ahmad,Netherlands,Bowler,Left hand Bat,Legbreak Googly
Logan van Beek,Netherlands,Bowler,Right hand Bat,Right arm Medium fast
Timm van der Gugten,Netherlands,Bowler,Right hand Bat,Right arm Fast medium
Paul van Meekeren,Netherlands,Bowler,Right hand Bat,Right arm Fast medium
Virat Kohli,India,Top order Batter,Right hand Bat,Right arm Medium
Rishabh Pant,India,Wicketkeeper Batter,Left hand Bat,
Suryakumar Yadav,India,Batter,Right hand Bat,"Right arm Medium, Right arm Offbreak"
Ravichandran Ashwin,India,Bowling Allrounder,Right hand Bat,Right arm Offbreak
Deepak Hooda,India,Allrounder,Right hand Bat,Right arm Offbreak
Dhananjaya de Silva,Sri Lanka,Allrounder,Right hand Bat,Right arm Offbreak
Chamika Karunaratne,Sri Lanka,Bowling Allrounder,Right hand Bat,Right arm Medium fast
Danushka Gunathilaka,Sri Lanka,Allrounder,Left hand Bat,Right arm Offbreak
Asitha Fernando,Sri Lanka,Bowler,Right hand Bat,Right arm Medium fast
Lahiru Kumara,Sri Lanka,Bowler,Left hand Bat,Right arm Fast
Kasun Rajitha,Sri Lanka,Bowler,Right hand Bat,Right arm Medium fast
Alishan Sharafu,United Arab Emirates,Opening Batter,Right hand Bat,Right arm Medium
Aayan Afzal Khan,United Arab Emirates,Bowling Allrounder,Right hand Bat,Slow Left arm Orthodox
Fahad Nawaz,United Arab Emirates,Allrounder,Right hand Bat,Slow Left arm Orthodox
Kashif Daud,United Arab Emirates,Bowling Allrounder,Right hand Bat,Right arm Medium fast
Ahmed Raza,United Arab Emirates,Bowler,Right hand Bat,Slow Left arm Orthodox
Stephan Baard,Namibia,Batter,Right hand Bat,Right arm Medium fast
Richie Berrington,Scotland,Top order Batter,Right hand Bat,Right arm Medium fast
Andy Balbirnie,Ireland,Batter,Right hand Bat,Right arm Offbreak
Jos Buttler,England,Wicketkeeper Batter,Right hand Bat,
